article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_004,Hyundai,ORGANIZATION,-0.016331782360794023,-0.129,0.11266821763920598,6
art_004,Hyundai,ORGANIZATION,-0.016331782360794023,-0.129,0.11266821763920598,6
art_004,Hyundai,ORGANIZATION,-0.016331782360794023,-0.129,0.11266821763920598,6
art_004,Hyundai,ORGANIZATION,-0.016331782360794023,-0.129,0.11266821763920598,6
art_004,LG,ORGANIZATION,-0.2730182852828875,-0.129,0.14401828528288751,2
art_004,Associated Press,ORGANIZATION,-0.2408805020386353,-0.129,0.11188050203863531,1
art_004,LG,ORGANIZATION,-0.2730182852828875,-0.129,0.14401828528288751,2
art_004,CNN,ORGANIZATION,-0.15433075621258469,-0.129,0.025330756212584682,5
art_004,LG,ORGANIZATION,-0.2730182852828875,-0.129,0.14401828528288751,2
art_004,CNN,ORGANIZATION,-0.15433075621258469,-0.129,0.025330756212584682,5
art_004,Schrank,PERSON,-0.04402311458155358,-0.129,0.08497688541844642,6
art_004,CNN,ORGANIZATION,-0.15433075621258469,-0.129,0.025330756212584682,5
art_004,ICE,ORGANIZATION,-0.08771747064505082,-0.129,0.04128252935494918,6
art_004,Homeland Security,ORGANIZATION,-0.11054320403491147,-0.129,0.018456795965088535,3
art_004,Georgia State Patrol,ORGANIZATION,-0.015441107330843806,-0.129,0.1135588926691562,1
art_004,FBI,ORGANIZATION,-0.015441107330843806,-0.129,0.1135588926691562,1
art_004,DEA,ORGANIZATION,-0.015441107330843806,-0.129,0.1135588926691562,1
art_004,ATF,ORGANIZATION,-0.015441107330843806,-0.129,0.1135588926691562,1
art_004,Department of Homeland Security,ORGANIZATION,-0.2828652299940586,-0.129,0.1538652299940586,1
art_004,Schrank,PERSON,-0.04402311458155358,-0.129,0.08497688541844642,6
art_004,Hyundai,ORGANIZATION,-0.016331782360794023,-0.129,0.11266821763920598,6
art_004,CNN,ORGANIZATION,-0.15433075621258469,-0.129,0.025330756212584682,5
art_005,Hyundai Motor,ORGANIZATION,-0.0008191992552989783,-0.1128,0.11198080074470101,6
art_005,U.S.,ORGANIZATION,0.0016248764473453371,-0.1128,0.11442487644734534,9
art_005,DHS,ORGANIZATION,-0.04648571017605718,-0.1128,0.06631428982394282,2
art_005,President Donald Trump,PERSON,-0.1667999867349863,-0.1128,0.05399998673498631,1
art_005,White House,ORGANIZATION,-0.12856114527676255,-0.1128,0.015761145276762548,2
art_005,South Korea,ORGANIZATION,-0.03948264511564048,-0.1128,0.07331735488435952,6
art_005,Hyundai Motor,ORGANIZATION,-0.0008191992552989783,-0.1128,0.11198080074470101,6
art_005,Homeland Security,ORGANIZATION,-0.10674789806944318,-0.1128,0.006052101930556816,3
art_005,Steven Schrank,PERSON,-0.0036608406735467725,-0.1128,0.10913915932645323,1
art_005,Schrank,PERSON,-0.03062764788774075,-0.1128,0.08217235211225925,3
art_005,Hyundai Motor,ORGANIZATION,-0.0008191992552989783,-0.1128,0.11198080074470101,6
art_005,Chris Susock,PERSON,0.010266127064824104,-0.1128,0.1230661270648241,1
art_005,Hyundai,ORGANIZATION,-0.10083054094219632,-0.1128,0.01196945905780368,9
art_005,ICE,ORGANIZATION,-0.08145096725881255,-0.1128,0.031349032741187444,6
art_005,Schrank,PERSON,-0.03062764788774075,-0.1128,0.08217235211225925,3
art_005,South,PERSON,-0.03948264511564048,-0.1128,0.07331735488435952,6
art_005,Hyundai,ORGANIZATION,-0.10083054094219632,-0.1128,0.01196945905780368,9
art_005,LG Energy Solutions,ORGANIZATION,0.0013390909880399704,-0.1128,0.11413909098803997,1
art_005,LGES,ORGANIZATION,0.0006373364158207551,-0.1128,0.11343733641582075,2
art_005,Hyundai Motor,ORGANIZATION,-0.0008191992552989783,-0.1128,0.11198080074470101,6
art_005,LGES,ORGANIZATION,0.0006373364158207551,-0.1128,0.11343733641582075,2
art_005,Hyundai Motor,ORGANIZATION,-0.0008191992552989783,-0.1128,0.11198080074470101,6
art_005,LGES,ORGANIZATION,0.0006373364158207551,-0.1128,0.11343733641582075,2
art_005,Trump,ORGANIZATION,-0.1264768997207284,-0.1128,0.0136768997207284,3
art_005,Immigration and Customs Enforcement,ORGANIZATION,-0.09160711709409952,-0.1128,0.021192882905900476,1
art_005,ICE,ORGANIZATION,-0.08145096725881255,-0.1128,0.031349032741187444,6
art_005,DHS,ORGANIZATION,-0.04648571017605718,-0.1128,0.06631428982394282,2
art_005,Republican,ORGANIZATION,-0.09160711709409952,-0.1128,0.021192882905900476,1
art_005,Trump,PERSON,-0.1264768997207284,-0.1128,0.0136768997207284,3
