api,article_id,timestamp,status,entities_found,keyphrases_found,truncated,original_chars,chars_sent,opinions_found
AWS,art_066,2026-05-23T00:25:57.125899,success,73,170,False,4534,4534,
Google,art_066,2026-05-23T00:25:58.992920,success,150,15,False,4534,4534,
Azure,art_066,2026-05-23T00:26:02.216508,success,106,105,False,4534,4534,1.0
AWS,art_067,2026-05-23T00:26:05.305947,success,56,135,False,3313,3313,
Google,art_067,2026-05-23T00:26:07.711098,success,111,15,False,3313,3313,
Azure,art_067,2026-05-23T00:26:09.712330,success,91,78,False,3313,3313,1.0
AWS,art_068,2026-05-23T00:26:12.364036,success,21,46,False,1058,1058,
Google,art_068,2026-05-23T00:26:13.820104,success,44,15,False,1058,1058,
Azure,art_068,2026-05-23T00:26:16.169847,success,37,33,False,1058,1058,0.0
AWS,art_069,2026-05-23T00:26:18.219561,success,69,179,True,9972,4562,
Google,art_069,2026-05-23T00:26:20.052108,success,159,15,True,9972,4562,
Azure,art_069,2026-05-23T00:26:23.352044,success,107,109,True,9972,4562,1.0
AWS,art_070,2026-05-23T00:26:26.675051,success,79,183,True,12085,4607,
Google,art_070,2026-05-23T00:26:29.152664,success,138,15,True,12085,4607,
Azure,art_070,2026-05-23T00:26:32.733636,success,106,98,True,12085,4607,0.0
AWS,art_071,2026-05-23T00:26:35.909856,success,67,184,True,5800,4697,
Google,art_071,2026-05-23T00:26:38.579211,success,155,15,True,5800,4697,
Azure,art_071,2026-05-23T00:26:41.772159,success,96,108,True,5800,4697,2.0
AWS,art_072,2026-05-23T00:26:45.007154,success,74,183,True,9398,4771,
Google,art_072,2026-05-23T00:26:47.697394,success,160,15,True,9398,4771,
Azure,art_072,2026-05-23T00:26:49.754413,success,130,116,True,9398,4771,0.0
AWS,art_073,2026-05-23T00:26:52.830959,success,84,200,True,9782,4599,
Google,art_073,2026-05-23T00:26:54.665323,success,156,15,True,9782,4599,
Azure,art_073,2026-05-23T00:26:56.820794,success,118,116,True,9782,4599,1.0
AWS,art_074,2026-05-23T00:26:59.865854,success,76,183,False,4455,4455,
Google,art_074,2026-05-23T00:27:01.733055,success,149,15,False,4455,4455,
Azure,art_074,2026-05-23T00:27:06.163880,success,115,104,False,4455,4455,2.0
AWS,art_075,2026-05-23T00:27:09.212980,success,33,84,False,2001,2001,
Google,art_075,2026-05-23T00:27:11.559856,success,66,15,False,2001,2001,
Azure,art_075,2026-05-23T00:27:14.017649,success,47,58,False,2001,2001,1.0
AWS,art_076,2026-05-23T00:27:16.435972,success,69,169,False,4337,4337,
Google,art_076,2026-05-23T00:27:18.223223,success,137,15,False,4337,4337,
Azure,art_076,2026-05-23T00:27:21.340702,success,111,110,False,4337,4337,1.0
AWS,art_077,2026-05-23T00:27:24.484629,success,60,180,False,4593,4593,
Google,art_077,2026-05-23T00:27:26.871457,success,162,15,False,4593,4593,
Azure,art_077,2026-05-23T00:27:28.971033,success,104,98,False,4593,4593,3.0
AWS,art_078,2026-05-23T00:27:31.993513,success,28,122,False,2863,2863,
Google,art_078,2026-05-23T00:27:33.520255,success,110,15,False,2863,2863,
Azure,art_078,2026-05-23T00:27:35.116835,success,56,77,False,2863,2863,2.0
AWS,art_079,2026-05-23T00:27:37.737722,success,51,81,False,1954,1954,
Google,art_079,2026-05-23T00:27:39.314916,success,67,15,False,1954,1954,
Azure,art_079,2026-05-23T00:27:42.805244,success,68,59,False,1954,1954,1.0
AWS,art_080,2026-05-23T00:27:45.345840,success,29,42,False,1041,1041,
Google,art_080,2026-05-23T00:27:47.691059,success,37,15,False,1041,1041,
Azure,art_080,2026-05-23T00:27:50.987434,success,35,37,False,1041,1041,2.0
AWS,art_081,2026-05-23T00:27:53.158003,success,98,196,False,4540,4540,
Google,art_081,2026-05-23T00:27:54.993535,success,156,15,False,4540,4540,
Azure,art_081,2026-05-23T00:27:59.630321,success,139,137,False,4540,4540,3.0
AWS,art_082,2026-05-23T00:28:03.278972,success,95,194,True,7293,4645,
Google,art_082,2026-05-23T00:28:05.890130,success,162,15,True,7293,4645,
Azure,art_082,2026-05-23T00:28:09.321604,success,150,139,True,7293,4645,1.0
AWS,art_083,2026-05-23T00:28:12.354642,success,26,60,False,1195,1195,
Google,art_083,2026-05-23T00:28:14.611016,success,44,15,False,1195,1195,
Azure,art_083,2026-05-23T00:28:15.975515,success,40,43,False,1195,1195,0.0
AWS,art_084,2026-05-23T00:28:18.218715,success,84,186,True,5443,4563,
Google,art_084,2026-05-23T00:28:20.023650,success,165,15,True,5443,4563,
Azure,art_084,2026-05-23T00:28:22.143008,success,130,133,True,5443,4563,1.0
AWS,art_085,2026-05-23T00:28:25.291328,success,104,198,True,6232,4702,
Google,art_085,2026-05-23T00:28:27.134088,success,159,15,True,6232,4702,
Azure,art_085,2026-05-23T00:28:29.317597,success,134,119,True,6232,4702,0.0
AWS,art_086,2026-05-23T00:28:32.273706,success,111,188,False,4491,4491,
Google,art_086,2026-05-23T00:28:34.134954,success,135,15,False,4491,4491,
Azure,art_086,2026-05-23T00:28:37.174568,success,139,124,False,4491,4491,0.0
AWS,art_087,2026-05-23T00:28:40.630864,success,75,196,True,9052,4563,
Google,art_087,2026-05-23T00:28:43.215501,success,163,15,True,9052,4563,
Azure,art_087,2026-05-23T00:28:46.185847,success,105,126,True,9052,4563,5.0
AWS,art_088,2026-05-23T00:28:49.501512,success,83,202,True,5578,4630,
Google,art_088,2026-05-23T00:28:52.138816,success,148,15,True,5578,4630,
Azure,art_088,2026-05-23T00:28:55.210942,success,117,123,True,5578,4630,3.0
AWS,art_089,2026-05-23T00:28:58.761715,success,98,183,False,4259,4259,
Google,art_089,2026-05-23T00:29:01.339454,success,126,15,False,4259,4259,
Azure,art_089,2026-05-23T00:29:05.232293,success,124,114,False,4259,4259,3.0
AWS,art_090,2026-05-23T00:29:08.366146,success,70,126,False,2468,2468,
Google,art_090,2026-05-23T00:29:10.681636,success,101,15,False,2468,2468,
Azure,art_090,2026-05-23T00:29:12.296541,success,91,90,False,2468,2468,1.0
AWS,art_091,2026-05-23T00:29:14.793840,success,139,216,True,6790,4737,
Google,art_091,2026-05-23T00:29:17.004968,success,139,15,True,6790,4737,
Azure,art_091,2026-05-23T00:29:19.158650,success,162,142,True,6790,4737,0.0
AWS,art_092,2026-05-23T00:29:22.813829,success,82,142,False,3036,3036,
Google,art_092,2026-05-23T00:29:25.213742,success,89,15,False,3036,3036,
Azure,art_092,2026-05-23T00:29:27.163897,success,97,90,False,3036,3036,0.0
AWS,art_093,2026-05-23T00:29:29.799264,success,64,128,False,2815,2815,
Google,art_093,2026-05-23T00:29:31.375068,success,105,15,False,2815,2815,
Azure,art_093,2026-05-23T00:29:34.437462,success,101,89,False,2815,2815,2.0
AWS,art_094,2026-05-23T00:29:37.095057,success,90,166,False,3593,3593,
Google,art_094,2026-05-23T00:29:38.929688,success,126,15,False,3593,3593,
Azure,art_094,2026-05-23T00:29:42.165369,success,137,102,False,3593,3593,0.0
AWS,art_095,2026-05-23T00:29:45.229904,success,69,151,False,3569,3569,
Google,art_095,2026-05-23T00:29:47.929583,success,133,15,False,3569,3569,
Azure,art_095,2026-05-23T00:29:51.016755,success,127,89,False,3569,3569,5.0
AWS,art_096,2026-05-23T00:29:54.186856,success,31,66,False,1399,1399,
Google,art_096,2026-05-23T00:29:56.523752,success,65,15,False,1399,1399,
Azure,art_096,2026-05-23T00:29:58.929663,success,52,45,False,1399,1399,2.0
AWS,art_097,2026-05-23T00:30:01.121111,success,41,114,False,2446,2446,
Google,art_097,2026-05-23T00:30:02.667665,success,107,15,False,2446,2446,
Azure,art_097,2026-05-23T00:30:05.691017,success,79,79,False,2446,2446,0.0
AWS,art_098,2026-05-23T00:30:08.338784,success,86,147,False,3129,3129,
Google,art_098,2026-05-23T00:30:09.947798,success,114,15,False,3129,3129,
Azure,art_098,2026-05-23T00:30:12.912895,success,124,92,False,3129,3129,1.0
AWS,art_099,2026-05-23T00:30:15.522190,success,46,106,False,2429,2429,
Google,art_099,2026-05-23T00:30:17.033987,success,100,15,False,2429,2429,
Azure,art_099,2026-05-23T00:30:19.956943,success,85,75,False,2429,2429,0.0
AWS,art_100,2026-05-23T00:30:22.662800,success,75,191,True,6867,4680,
Google,art_100,2026-05-23T00:30:24.505136,success,182,15,True,6867,4680,
Azure,art_100,2026-05-23T00:30:27.816946,success,120,145,True,6867,4680,3.0
AWS,art_101,2026-05-23T00:30:31.154130,success,55,84,False,2144,2144,
Google,art_101,2026-05-23T00:30:33.492918,success,71,15,False,2144,2144,
Azure,art_101,2026-05-23T00:30:36.962016,success,73,61,False,2144,2144,5.0
AWS,art_102,2026-05-23T00:30:39.726894,success,115,201,False,4637,4637,
Google,art_102,2026-05-23T00:30:42.366085,success,179,15,False,4637,4637,
Azure,art_102,2026-05-23T00:30:44.650577,success,148,133,False,4637,4637,1.0
AWS,art_103,2026-05-23T00:30:48.252942,success,112,203,True,8912,4646,
Google,art_103,2026-05-23T00:30:50.658659,success,161,15,True,8912,4646,
Azure,art_103,2026-05-23T00:30:52.861221,success,164,107,True,8912,4646,3.0
AWS,art_104,2026-05-23T00:30:56.419228,success,104,202,True,6314,4754,
Google,art_104,2026-05-23T00:31:00.132465,success,169,15,True,6314,4754,
Azure,art_104,2026-05-23T00:31:03.502354,success,138,125,True,6314,4754,2.0
AWS,art_105,2026-05-23T00:31:06.931521,success,88,192,True,6508,4690,
Google,art_105,2026-05-23T00:31:09.522025,success,175,15,True,6508,4690,
